Time,Used
39998.628905,188212456
39998.628928,198584160
39998.628952,211900664
39998.628975,209586904
39998.628998,221256624
39998.629021,211005584
39998.629044,222062456
39998.629067,234865672
39998.629090,224212832
39998.629114,234775288
39998.629137,228790952
39998.629160,242567640
39998.629183,253298776
39998.629206,243881920
39998.629229,255821800
39998.629252,267468952
39998.629276,259103024
39998.629299,272404712
39998.629322,283753208
39998.629345,274817104
39998.629368,286228424
39998.629391,277766608
39998.629415,290342120
39998.629438,303875928
39998.629461,296152312
39998.629484,310881472
39998.629507,307475720
39998.629530,321420912
39998.629553,313888032
39998.629577,327323952
39998.629600,340163568
39998.629623,331548312
39998.629646,343861792
39998.629669,337763824
39998.629692,348421512
39998.629715,359881296
39998.629739,350653136
39998.629762,360617024
39998.629785,370943048
39998.629808,361428464
39998.629831,372680232
39998.629854,383340896
39998.629877,374046368
39998.629901,389535256
39998.629924,401742416
39998.629947,396295656
39998.629970,409114872
39998.629993,404868968
39998.630016,418263904
39998.630040,410716088
39998.630063,424206776
39998.630086,438933192
39998.630109,430868256
39998.630132,444691888
39998.630155,437223520
